City,Cloudiness,Country,Date,Max Temp,Wind Speed,Lat,Lng,Humidity
San Juan,20,PH,1552233226,80.6,3.22,14.6,121.03,65
Busselton,0,AU,1552232816,62.01,17.2,-33.64,115.35,54
Rikitea,64,PF,1552232861,75.68,9.82,-23.12,-134.97,100
Paamiut,12,GL,1552232989,27.22,26.08,61.99,-49.67,100
Yekaterinoslavka,92,RU,1552233381,21.86,11.1,54.34,72.46,80
Castro,0,CL,1552230000,71.6,3.36,-42.48,-73.76,53
Grindavik,0,IS,1552231800,35.6,5.82,63.84,-22.43,64
Hithadhoo,0,MV,1552232931,84.05,3.22,-0.6,73.08,100
Albany,90,US,1552232851,37,8.05,42.65,-73.75,80
Te Anau,48,NZ,1552233265,44.95,2.33,-45.41,167.72,90
Punta Arenas,20,CL,1552232590,60.8,27.51,-53.16,-70.91,48
Zavallya,0,UA,1552233385,45.8,22.35,48.21,30.02,51
Tateyama,92,JP,1552233302,51.01,2.1,36.66,137.31,94
Namibe,0,AO,1552233386,80.59,11.83,-15.19,12.15,100
Ladario,12,PT,1552233303,66,4,40.7,-7.74,81
Thompson,75,CA,1552230000,-5.81,9.17,55.74,-97.86,70
Poum,0,MK,1552233389,55.88,3,41.28,20.71,45
Hambantota,0,LK,1552230600,78.8,3.36,6.12,81.12,88
Vila Velha,40,BR,1552232894,87.8,9.17,-3.71,-38.6,66
Enterprise,90,US,1552233212,78.01,4.7,31.32,-85.86,100
Pandan Niog,0,PH,1552233390,81.49,5.39,6.23,120.56,100
Presidencia Roque Saenz Pena,12,AR,1552233390,74.06,12.44,-26.79,-60.44,87
Vaini,20,IN,1552232862,78.52,4.56,15.34,74.49,57
Nurota,8,UZ,1552230000,50,13.87,40.56,65.69,61
Teya,75,MX,1552232749,86,21.92,21.05,-89.07,62
Mataura,12,NZ,1552232404,55,3.78,-46.19,168.86,87
Ilhabela,76,BR,1552232815,79.6,17.58,-23.78,-45.36,100
Mbini,20,GQ,1552230000,86,11.41,1.58,9.62,79
Isangel,80,VU,1552233395,77.93,13.33,-19.55,169.27,100
Port Alfred,92,ZA,1552232694,69.01,5.01,-33.59,26.89,86
Panama City,1,US,1552233134,81,12.75,30.16,-85.65,88
Puerto Ayora,20,EC,1552230000,80.6,5.82,-0.74,-90.35,74
Harper,90,US,1552233318,66.99,9.17,30.3,-99.24,68
Honningsvag,24,NO,1552233396,24.43,6.62,70.98,25.97,100
Beya,12,RU,1552233396,14.26,1.81,53.05,90.92,72
Ushuaia,40,AR,1552230000,60.8,11.41,-54.81,-68.31,59
Talcahuano,75,CL,1552230000,64.4,11.41,-36.72,-73.12,72
Tasiilaq,24,GL,1552229400,23,1.12,65.61,-37.64,49
Hofn,75,IS,1552230000,32,14.99,64.25,-15.21,100
Pangody,80,RU,1552233324,21.82,9.26,65.85,74.49,83
Kapaa,75,US,1552232702,71.6,13.87,22.08,-159.32,78
Port Elizabeth,90,US,1552232857,53.01,6.93,39.31,-74.98,93
Rupert,1,US,1552229580,26.6,13.87,42.62,-113.68,85
La Palma,20,CO,1552233440,77.53,2.26,5.36,-74.39,70
Kavieng,76,PG,1552233440,80.36,10.38,-2.57,150.8,100
Alice Springs,0,AU,1552230000,82.4,7.25,-23.7,133.88,24
Bay Roberts,24,CA,1552232900,28.99,5.01,47.58,-53.28,68
Brewster,90,US,1552233431,37.99,19.46,41.76,-70.08,93
Soe,48,EE,1552233089,33.8,8.05,57.91,26.05,80
Arraial do Cabo,0,BR,1552230000,89.6,13.87,-22.97,-42.02,74
East London,75,ZA,1552232400,69.8,17.22,-33.02,27.91,88
Dikson,68,RU,1552233442,8.14,14.9,73.51,80.55,86
Cape Town,75,ZA,1552232850,68,8.05,-33.93,18.42,82
Barrow,0,AR,1552232930,72.04,7.85,-38.31,-60.23,49
Ewa Beach,1,US,1552233191,73.4,6.93,21.32,-158.01,68
Ponta Delgada,75,PT,1552230000,64.4,10.29,37.73,-25.67,82
Zhangjiakou,0,CN,1552233443,26.36,10.65,40.77,114.88,73
Torbay,36,CA,1552232900,28.99,8.99,47.66,-52.73,69
Lebu,20,ET,1552230000,75.2,11.41,8.96,38.73,27
Orizona,8,BR,1552233443,83.2,6.35,-17.03,-48.3,80
Nikolskoye,40,RU,1552232766,39,13.42,59.7,30.79,86
Faanui,20,PF,1552233444,81.71,7.4,-16.48,-151.75,100
Grand Gaube,40,MU,1552233248,78.8,3.36,-20.01,57.66,78
Mecca,44,SA,1552233444,83.6,8.59,21.43,39.83,35
Shimoda,75,JP,1552232412,51.8,25.28,34.7,138.93,93
Myanaung,0,MM,1552233448,76,8.03,18.28,95.32,46
Ortigueira,75,ES,1552233005,57.99,6.93,43.68,-7.85,76
Pangnirtung,64,CA,1552232984,-13.47,3.38,66.15,-65.72,82
Hami,0,CN,1552233448,32.71,5.39,42.84,93.51,48
Haines Junction,76,CA,1552233448,24.25,8.63,60.75,-137.51,72
Namatanai,92,PG,1552233449,75.5,9.93,-3.66,152.44,100
Jalu,0,LY,1552233449,80.9,6.24,29.03,21.55,24
Bredasdorp,100,ZA,1552232775,69.8,20.8,-34.53,20.04,64
Berlevag,40,NO,1552229400,15.8,11.41,70.86,29.09,85
Nuevo Imperial,20,PE,1552233449,73.75,2.48,-13.08,-76.32,78
Klaebu,20,NO,1552233318,30.99,4.7,63.3,10.48,54
Hobart,40,AU,1552232840,57.2,3.36,-42.88,147.33,76
Talnakh,80,RU,1552233450,12.23,24.4,69.49,88.39,83
Sao Filipe,0,CV,1552233450,72.94,15.3,14.9,-24.5,87
Rong Kwang,0,TH,1552233450,71.86,2.37,18.34,100.32,71
Riberalta,75,BO,1552230000,78.8,9.17,-11,-66.08,94
Ponta do Sol,0,BR,1552233451,87.07,9.15,-20.63,-46,56
Broken Hill,56,AU,1552230000,80.6,8.05,-31.97,141.45,36
Salmo,0,CA,1552233102,21.99,1.01,49.19,-117.28,77
Zhigansk,80,RU,1552233451,7.01,3.33,66.77,123.37,76
Mar del Plata,0,AR,1552232866,79.96,8.75,-46.43,-67.52,32
Kodiak,1,US,1552232920,35.01,14.99,39.95,-94.76,39
Ribeira Grande,75,PT,1552230000,64.4,5.82,38.52,-28.7,82
Butaritari,80,KI,1552232926,81.76,11.83,3.07,172.79,100
Lasa,40,CY,1552232787,62.6,8.05,34.92,32.53,72
Taksimo,24,RU,1552233500,6.83,4.5,56.36,114.84,41
Brooks,0,CA,1552233501,-2.85,3,50.57,-111.89,45
Saint-Philippe,90,CA,1552233406,33.8,12.75,45.36,-73.48,92
Scarborough,80,GB,1552233482,42.8,20.8,54.28,-0.41,75
Atuona,8,PF,1552232985,82.03,12.06,-9.8,-139.03,100
Astoria,1,US,1552233214,37.99,3.36,46.19,-123.83,92
Sisimiut,44,GL,1552233383,3.28,1.77,66.94,-53.67,80
Avarua,76,CK,1552230000,78.8,5.82,-21.21,-159.78,88
Airai,56,TL,1552232986,68.93,0.69,-8.93,125.41,85
North Platte,1,US,1552233314,25,4.05,41.12,-100.77,78
Broome,75,GB,1552233485,48.99,31.09,52.47,1.45,80
Lingao,64,CN,1552233508,68.35,7.4,19.91,109.69,96
Wanning,75,AT,1552233467,57.99,23.04,48.64,13.53,62
Nanortalik,36,GL,1552232930,27.98,9.6,60.14,-45.24,100
Adrar,20,DZ,1552230000,77,25.28,27.87,-0.29,22
Smolensk,92,RU,1552233474,39.1,9.64,54.79,32.05,94
Tutoia,40,BR,1552230000,87.8,9.17,-2.76,-42.27,58
Viedma,0,AR,1552233277,76.18,10.83,-40.81,-62.99,32
Longyearbyen,20,NO,1552229400,1.4,4.7,78.22,15.63,64
Chapais,90,CA,1552230000,15.8,20.8,49.78,-74.86,47
Newry,40,GB,1552233096,42.8,27.51,54.18,-6.34,69
Qidong,0,CN,1552233303,50,4.56,31.81,121.66,89
Aklavik,20,CA,1552230000,17.6,4.7,68.22,-135.01,84
Yellowknife,20,CA,1552232723,6.01,12.75,62.45,-114.38,84
Kibala,0,TD,1552233511,101.11,9.15,9.11,18.35,16
Aginskoye,0,RU,1552232979,17.01,8.99,51.11,114.54,57
Great Yarmouth,75,GB,1552233452,46.99,31.09,52.61,1.73,80
Esperance,40,TT,1552232892,86,16.11,10.24,-61.45,55
Tuktoyaktuk,40,CA,1552230000,3.2,8.05,69.44,-133.03,84
Lompoc,56,US,1552232872,48.99,3.36,34.64,-120.46,93
Owando,56,CG,1552233512,92.29,3.27,-0.49,15.91,49
Assiniboia,64,CA,1552233513,9.4,4.27,49.63,-105.99,58
Upernavik,20,GL,1552232931,-2.85,9.86,72.79,-56.15,100
Bilibino,8,RU,1552233513,-17.52,2.37,68.06,166.44,71
Adre,0,TD,1552233513,92.2,5.28,13.47,22.2,15
Bethel,90,US,1552229760,35.6,9.17,60.79,-161.76,95
Port-Cartier,75,CA,1552230000,19.4,10.29,50.03,-66.88,62
Sungairaya,12,ID,1552233514,76.99,2.1,0.7,108.9,90
Port Lincoln,88,AU,1552233514,65.11,6.13,-34.72,135.86,96
San Cristobal,75,EC,1552232799,64.4,2.24,-0.39,-78.55,68
Sistranda,75,NO,1552233277,30.99,3.36,63.73,8.83,50
Bhikangaon,0,IN,1552233560,73.93,4.9,21.87,75.96,38
Bambous Virieux,40,MU,1552232948,78.8,3.36,-20.34,57.76,78
Henties Bay,0,NA,1552230180,68,14,-22.12,14.28,77
Gurupi,24,BR,1552233443,82.12,6.58,-11.73,-49.07,98
Pachino,0,IT,1552229400,64.4,5.82,36.72,15.09,52
Cidreira,92,BR,1552233561,72.49,12.1,-30.17,-50.22,83
Hualmay,0,PE,1552233561,79.91,5.39,-11.1,-77.61,69
Bluff,0,AU,1552232984,77.3,10.04,-23.58,149.07,61
Provideniya,80,RU,1552233562,19.21,34.43,64.42,-173.23,100
Coquimbo,0,CL,1552230000,68,10.29,-29.95,-71.34,60
Woodward,1,US,1552232771,36,12.75,36.43,-99.39,55
Hermanus,92,ZA,1552232834,69.01,10,-34.42,19.24,72
Hilo,75,US,1552233550,66.2,8.05,19.71,-155.08,88
Kangaba,0,ML,1552233563,94.45,9.64,11.94,-8.41,24
Taganak,75,PH,1552230000,82.4,6.93,6.08,118.3,83
Lesogorskiy,75,RU,1552233536,33.01,8.05,61.05,28.93,79
Sajanan,0,TN,1552230000,64.4,6.93,37.06,9.24,55
Saint George,0,GR,1552231200,75.2,8.05,39.45,22.34,42
Binzhou,76,CN,1552232880,45,5.99,37.38,117.96,86
Bundaberg,36,AU,1552233005,78.01,4.7,-24.87,152.35,88
Panguna,64,PG,1552233564,75.82,3.38,-6.32,155.48,94
Kenai,90,US,1552233423,36,6.93,60.55,-151.26,80
Najran,0,SA,1552230000,75.2,11.41,17.54,44.22,19
Jamestown,48,AU,1552233566,65.74,5.84,-33.21,138.6,83
Abu Samrah,44,SY,1552233566,59.75,10.38,35.3,37.18,64
Orapa,20,BW,1552233569,93.86,8.08,-21.28,25.37,22
Victoria,90,BN,1552230000,78.01,2.48,5.28,115.24,94
